Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adcock, Jed	86	80	92	90	93	91	65	87	51		82	89	93	93	90	89	84	85	72	79	86	83	83.8/2180:47
Aish, James	80		82	44			91	76	73			66	80	77	41	77							71.9/976:14
Andrews, Harris			90	84	88	97	98	99	99	97		98	96	84	96	92	93	88	95	94	89	70	91.9/2168:36
Beams, Claye	79	78	89	87	89	89		81	82														84.3/841:45
Beams, Dayne	82	81	90	82	88	81	65	84	93	88	87	86	91	80	90		62						83.2/1641:21
Beasley, Hugh										85	84	78	90			56					88		80.2/600:06
Bewick, Rohan	86	85	82	81	86				83	83	86	91	87	68		92	88	88				83	84.6/1579:21
Bourke, Jordon										93	91	90	87	84									89.0/552:14
Christensen, Allen	70	84	83	85	85	79	61	85	75	75	78	79	79	78	86	76	83	75	86	87	80	85	79.7/2172:19
Clarke, Justin	97	95	95	96	98	98	100	100	99	100	97	94	99	92	94	96	95	91			65	91	94.6/2346:25
Close, Michael		15																					15.0/18:45
Cutler, Tom				85	83	29	58			94	83	33							77	91	94	93	74.5/1032:50
Dawson, Liam								63	90	24						85	86	85	88	82	27	83	71.4/889:03
Evans, Billy																		52	16	64	63	71	53.4/336:43
Freeman, Jonathan																	84	88	90	88	87	89	87.7/656:40
Gardiner, Darcy			56	94	96	80	87	93					86	20									76.9/772:48
Golby, Mitch				84	82	76	20	19															56.1/354:26
Green, Josh	93	92	89	34	93	90	84	81	89	84	86	86	80							47	89	91	81.8/1640:24
Hanley, Pearce										87	83	48		83	41		86	84	89	85	81	86	77.9/1053:01
Harwood, Ryan									14			88			71								57.0/206:53
Lester, Ryan	91	83				72	83	80	80	75	88		67										79.8/895:07
Leuenberger, Matthew	85	83				90	88	85	98	68	89	89	86	87	89	83	29						82.2/1413:54
Maguire, Matt		97	90																				93.4/229:45
Martin, Stefan	91	88	81	86	91	91	95	87	95	91	92	91			91	95	98	96	91	94	89	94	91.3/2265:01
Mayes, Sam	38	89	85							82			30	88	80	93	92	73	84	81	80	73	76.1/1307:09
McGrath, Jaden	81	80	85																				82.1/301:12
McGuane, Luke																		94	93	92	95		93.5/462:25
McStay, Daniel	91	91	89	90	96	95	95	94			86	96	88	89	94	29	86	95	90	88	83	96	88.1/2182:37
Merrett, Daniel	93													98	94	96	99	97	99	94	100	100	97.1/1187:10
OBrien, Zac		61							70	80	86							15	87	86		27	63.6/635:57
Paparone, Marco	87	92	86	93	88	67	98	91	93	94	95	90	95	88	95	79	88	87	91	91	92	88	89.4/2438:44
Redden, Jack	84	81	74	84	82	87	77				79	80	86	80	83	85	82	88	81	83			82.1/1718:56
Rich, Daniel	83	86	82	81	81	77	68	89	81	78	78	89	88	78	80	75	86	83	84		77	67	80.5/2096:41
Robertson, Nick				83	78	67	78	82	85	74	16			87	82	84	35						70.9/1048:21
Robinson, Mitch	83	77	78	92	77	87	89	78	95	89	65	74	70		85	77	87	85	79	81	81	72	80.9/2109:15
Rockliff, Tom	50			80	8	89	89	79	75					83	82	79	89	81	77	85	84	83	75.7/1499:18
Staker, Brent			82		49								60	90	81	93							75.5/554:57
Taylor, Lewis	91	85	34	80	85	88	89	77	95	82	84	90	83	89	79	87	87	82	85	81	88	90	83.2/2269:40
West, Trent																			65	44			54.7/134:26
Zorko, Dayne	79	90	85	85	84	81	73	91	86	80	85	74	80	83	78	82	81	87	82	83	81	84	82.5/2248:04
Totals																							
Opponent	CW	NM	RI	WC	GC	CA	PA	ES	SK	GW	WB	AD	FR	SY	ME	NM	GE	GC	CA	AD	HW	WB	
