Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adcock, Jed	-	-	1	-	-	1	-	-	-		-	-	1	-	-	-	1	1	3	-	-	1	9
Aish, James	1		1	-			-	-	1			-	-	-	-	-							3
Andrews, Harris			-	-	-	-	-	-	-	-		-	-	-	-	-	1	-	-	-	-	-	1
Beams, Claye	1	-	-	-	1	-		-	-														2
Beams, Dayne	1	-	-	-	-	1	-	-	1	-	1	-	-	-	-		1						5
Beasley, Hugh										-	-	-	-			-					1		1
Bewick, Rohan	-	1	-	1	-				1	-	-	-	-	-		-	-	-				-	3
Bourke, Jordon										-	-	1	-	1									2
Christensen, Allen	-	-	-	-	2	3	1	-	2	1	-	1	-	1	-	-	-	1	2	1	-	2	17
Clarke, Justin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	
Close, Michael		-																					
Cutler, Tom				-	-	-	1			-	-	-							-	-	-	-	1
Dawson, Liam								-	-	-						-	-	-	1	-	-	1	2
Evans, Billy																		-	-	-	-	-	
Freeman, Jonathan																	1	-	-	-	-	1	2
Gardiner, Darcy			-	-	-	-	-	-					-	-									
Golby, Mitch				-	-	1	-	-															1
Green, Josh	1	-	-	-	-	1	-	1	-	1	2	-	-							-	1	-	7
Hanley, Pearce										-	1	1		-	-		1	3	1	-	1	1	9
Harwood, Ryan									-			-			-								
Lester, Ryan	-	-				-	-	-	1	-	-		-										1
Leuenberger, Matthew	1	-				-	-	-	1	-	-	-	-	-	-	-	-						2
Maguire, Matt		-	-																				
Martin, Stefan	1	-	1	2	-	-	4	1	1	-	-	-			-	-	-	1	1	-	1	1	14
Mayes, Sam	-	-	-							-			-	-	-	-	-	-	1	-	-	-	1
McGrath, Jaden	-	-	-																				
McGuane, Luke																		-	1	-	-		1
McStay, Daniel	-	-	-	1	-	-	-	1			1	-	-	-	-	-	-	1	1	-	-	1	6
Merrett, Daniel	-													-	-	-	-	-	-	-	-	-	
OBrien, Zac		-							-	-	-							-	-	-		-	
Paparone, Marco	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	3
Redden, Jack	-	-	-	-	1	-	-				1	-	2	1	2	-	1	-	-	-			8
Rich, Daniel	-	1	-	-	-	1	4	1	-	-	-	-	-	-	-	-	-	-	1		-	3	11
Robertson, Nick				1	-	-	-	-	-	-	-			-	-	-	-						1
Robinson, Mitch	-	-	1	-	1	-	-	1	-	1	2	-	-		-	-	-	-	2	1	-	-	9
Rockliff, Tom	-			-	-	-	1	1	2					-	-	-	1	1	-	1	-	1	8
Staker, Brent			-		-								-	-	-	-							
Taylor, Lewis	-	-	-	-	-	-	-	-	1	1	1	-	-	1	-	-	-	-	1	-	-	1	6
West, Trent																			-	1			1
Zorko, Dayne	2	-	-	2	-	1	-	-	1	1	-	2	-	-	-	1	-	1	1	-	-	-	12
Totals	8	2	5	7	5	9	11	6	12	5	9	5	3	4	2	1	8	9	16	5	4	13	149
Opponent	CW	NM	RI	WC	GC	CA	PA	ES	SK	GW	WB	AD	FR	SY	ME	NM	GE	GC	CA	AD	HW	WB	
