Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adcock, Jed	10	12	6	6	7	7	7	7	7		8	5	8	4	8	6	10	5	5	4	4	12	148
Aish, James	7		10	2			14	7	9			5	11	5	6	10							86
Andrews, Harris			3	2	4	7	7	4	9	4		6	5	3	10	6	12	9	8	12	3	4	118
Beams, Claye	17	3	10	9	9	11		8	2														69
Beams, Dayne	7	9	20	14	19	13	16	12	19	14	13	17	18	18	13		10						232
Beasley, Hugh										2	4	8	7			2					5		28
Bewick, Rohan	9	2	12	5	8				10	5	8	3	9	5		8	8	6				16	114
Bourke, Jordon										11	10	4	3	3									31
Christensen, Allen	14	12	9	9	15	12	10	6	16	20	18	9	12	8	20	10	9	13	11	13	10	11	267
Clarke, Justin	7	6	3	7	6	2	4	7	5	4	8	9	8	7	5	7	7	6			1	10	119
Close, Michael		2																					2
Cutler, Tom				20	8	3	7			11	6	1							18	13	6	13	106
Dawson, Liam								3	6	1						9	15	10	11	8	5	9	77
Evans, Billy																		-	2	5	6	4	17
Freeman, Jonathan																	4	1	6	2	4	5	22
Gardiner, Darcy			3	8	4	3	4	5					9	6									42
Golby, Mitch				10	12	9	-	4															35
Green, Josh	10	5	5	3	9	5	9	9	3	5	7	11	12							4	13	13	123
Hanley, Pearce										17	15	10		19	3		9	20	10	15	15	18	151
Harwood, Ryan									2			9			11								22
Lester, Ryan	7	5				8	8	9	10	4	4		5										60
Leuenberger, Matthew	6	5				3	7	1	4	1	1	4	4	5	2	5	1						49
Maguire, Matt		5	7																				12
Martin, Stefan	8	11	13	10	10	13	17	11	14	12	9	14			5	12	12	11	12	15	12	17	238
Mayes, Sam	4	7	7							5			1	13	11	9	6	13	9	5	7	11	108
McGrath, Jaden	7	4	5																				16
McGuane, Luke																		8	6	4	7		25
McStay, Daniel	4	5	2	6	3	8	2	6			6	4	3	4	2	2	3	10	9	5	1	6	91
Merrett, Daniel	10													7	5	9	8	9	5	6	6	4	69
OBrien, Zac		11							8	13	9							3	6	3		4	57
Paparone, Marco	12	8	13	16	13	6	11	14	10	18	14	10	9	16	19	13	10	10	12	13	10	7	264
Redden, Jack	11	14	11	11	17	14	5				10	15	13	12	13	19	13	14	10	8			210
Rich, Daniel	18	10	11	9	11	6	16	7	12	9	6	15	16	11	9	10	11	16	13		8	16	240
Robertson, Nick				11	13	5	11	7	8	10	2			11	12	4	1						95
Robinson, Mitch	10	11	7	6	18	11	9	10	7	10	6	12	13		6	10	15	14	13	7	10	15	220
Rockliff, Tom	13			5	-	9	11	13	8					15	9	9	15	7	20	11	13	16	174
Staker, Brent			3		-								4	8	8	6							29
Taylor, Lewis	8	12	2	11	10	11	14	8	17	16	18	15	6	6	14	11	9	11	5	9	5	12	230
West, Trent																			3	3			6
Zorko, Dayne	16	9	11	9	15	5	12	10	16	11	10	14	17	20	19	13	8	18	14	21	17	15	300
Totals	215	168	173	189	211	171	201	168	202	203	192	200	193	206	210	190	196	214	208	186	168	238	4302
Opponent	CW	NM	RI	WC	GC	CA	PA	ES	SK	GW	WB	AD	FR	SY	ME	NM	GE	GC	CA	AD	HW	WB	
