Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Biggs, Shane								-	1							3	4	1	4	2	3	-	2	20
Bontempelli, Marcus	-	4		3	4	3	-	1	1		1	2	2	1	3	1	4	3	1	-	-	3	7	44
Boyd, Matthew	1	1		1	2		2	-	-	2	1	2	3	4	4	1	-	2	1		-		3	30
Boyd, Tom	2	2	1	3	-	1	1	-	-	1	2	2		-	2									17
Campbell, Tom															2	1	2	2	1	2				10
Cordy, Ayce		1	3	6	4	4	5	6																29
Cordy, Zaine																					-	4		4
Crameri, Stewart	2	2	1	3	-	-	2	1		1					3	-	2	-	3	3	3	4	2	32
Dahlhaus, Luke	1	1	1	-	2	1	-	2	-	-	-	-	-	-	1	2	-	-	-	1	-	1	3	16
Dale, Bailey							-	1	-	-	-	-			1	-	-	-						2
Daniel, Caleb													-	-	1	-	-	-	-	1		-	2	4
Darley, Sam																		2	-					2
Dickson, Tory	-	1	1	-	1	-	1	1	-	1	1	1	1	1	-	3	1	-	-	1	1	1	-	17
Goodes, Brett	-	2	3			1	-	1														2		9
Grant, Jarrad	-	-	2	3					2	2	1	-	1	4	1	-	3	3	1	1	2	2	1	29
Hamling, Joel									5	9	1	7	6					5	4	8	7	8	7	67
Honeychurch, Mitch	1	2	1	-	-	1	-						1								1	1	-	8
Hrovat, Nathan			2	-	1	2			-	-	-													5
Hunter, Lachie						-	-	2						-	1	2	-	2	1	-	-	-	1	9
Johannisen, Jason	3	3	2	4	3	2	3	2	4	3	1	-	4	-	-	2	1			-	1	2		40
Jong, Lin	2	4	2	1	-		1	2	-	1								-	-	-			1	14
Macrae, Jack	1	-	-	1	1	1			1	-	2	1	1	1	2	1	1	-	2	-	2	1	3	22
McLean, Toby										1	-	-	1											2
Minson, Will	1	2	11						4	2	1	-	4	4									4	33
Morris, Dale	7	5	3									3	6	4	3	8	11	4	7	3	8		12	84
Murphy, Robert	4	3	6	3	4	1	-	2	2	-	1	1	1	1	1	1	2		-	3	-		1	37
Pearce, Daniel																				1				1
Picken, Liam	-	-	1	1	1	1	1	4	-		1	-	2	-	-	1	1	1	1		-	2	2	20
Prudden, Josh														1	2	2	1							6
Redpath, Jack	2												-	1	2	1	3	2	2	2	2	-	2	19
Roberts, Fletcher					11	2	6	5	-	5	7	7	1	5								6	5	60
Roughead, Jordan	6	4	6	6	3	3	10	7	4	2	5	3	1		9						6	5		80
Smith, Clay				2	2	-																		4
Smith, Roarke																				-				
Stevens, Koby			2	1	-	-	-	2	-	-	-	2	2	-										9
Stringer, Jake	1	-	1	-	-	-	-	1		5	-	-	1	1	-	2	-	1	2	-	1	1	-	17
Talia, Michael	4	5	7	7	9	6	6	6						4		12	6	4	6	11				93
Wallis, Mitch	-	-	1				-	-	-	-	-	-	-	-	-	1	1	-	-	1	1	-	1	6
Webb, Lukas			3	2	2	-			1	1	2	1									1	-		13
Wood, Easton	2	4		2	9	4	6	5	4	3	2	9	3	7	3	1	4	2	3	5	3	2	4	87
Totals	40	46	60	49	59	33	44	51	29	39	29	41	41	39	41	45	47	34	39	45	42	45	63	1001
Opponent	WC	RI	HW	AD	SY	SK	FR	ME	GW	PA	BL	SK	CA	GC	GE	CW	ES	PA	ME	WC	NM	BL	AD	
