Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adams, Taylor	3	2		10	4	1	2	3	2		8	6	3	5			6	2	1	6	8	7	79
Armstrong, Tony						6																	6
Blair, Jarryd	1	4	8	2	2	3	3	2	4	1		5	-	1	4	1		5	1	3	6	1	57
Broomhead, Tim		1	2	1		1	-	1		-	4	3	1	2									16
Brown, Nathan	-	-	3	1	9	5	-	3	2	5	7	5	3	2	3	2	4	4	5		-	3	66
Cloke, Travis	3	6	7	7	7	8	10	7	5	8	9	6	11	4	-				7	7			112
Crisp, Jack	1	4	5	4	4	3	5	5	3	3	3	3	5	3	6	3	3	4	5	4	4	5	85
Dwyer, Sam			4	-	6	-											4						14
Elliott, Jamie	8	5	7	6	5	8	5	6	7	9	2	5	2	5			1	6	6	9	6	3	111
Fasolo, Alex	4	5						7	4	5	5	4	5	1	6	1	7	8	2	-	8	9	81
Frost, Jack	1	1	-	1	6	2	4	3	-	3	4	2	1	2	6	5	1	1	1	2			46
Gault, Corey			1	-	4																		5
Goldsack, Tyson	3	1	3	5	6	2	5	6	4	5	4	-				4							48
Greenwood, Levi															3	4	4	7	1	4	4	5	32
Grundy, Brodie	-	3	3	6	5	5	4	1	4	4				2	5	6	1	3	2	5	4	3	66
Karnezis, Patrick			-		4	5	1																10
Kennedy, Ben										-	1				3	3						2	9
Langdon, Tom	2	4	3	6	7	4	3	4	4	9	3	4	5	7	4	8	3	6	5	2	10	7	110
Marsh, Jonathon																		-	2	2	-	6	10
Maynard, Brayden													2	4	2	2	4	3		-	6	2	25
Moore, Darcy													1	1		4	4	3	7	5	2	2	29
Oxley, Adam	1	2	3	-	11	3	3	4	3	14	4	3	2	2	11	2						1	69
Pendlebury, Scott	4	5	5	5	9	6	1	7	4	5	1	3	6	3	2	4	-	3	4	3	11	6	97
Ramsay, Jackson	1	2	3	-	2																		8
Reid, Ben																		4	2	4	7	7	24
Scharenberg, Matt																	1	-			9	8	18
Seedsman, Paul		3	6	6	3		4	4	3	4	2	1			4		1						41
Sidebottom, Steele	2							5	9	4	5	5	6	5	7	8	3	2	5	11	7	1	85
Sinclair, Ben	2	1																4	2	3	5		17
Swan, Dane	-	2	4	4	6	3	5	5	5	4	8	4	5	4	6	6	6	10	6	6	5		104
Toovey, Alan	4	1	2	1	1	3	-		2	4	4	6	1	2	4	2	1	1	2	2		4	47
Varcoe, Travis	2	2	5	4	2	1	4	10	4	6	4	2	8	1	4	4	4	3	4	3	7	6	90
White, Jesse	7	7	3	2	6	9	4	5	6	2	3	2	6	6	4	2					4	10	88
Williams, Marley	2	-	1	2	2	4	3	12	3	7	4	2	5		8	5	3	3	2	-	7		75
Witts, Jarrod						3	3	2	3		-	2	2	2	-	4	2						23
de Goey, Jordan	1						1	2	-	3	-	1	3	-	6	1	-		4	2	3	4	31
Totals	52	61	78	73	111	85	70	104	81	105	85	74	83	64	98	81	63	82	76	83	123	102	1834
Opponent	BL	AD	SK	ES	CA	GE	RI	GC	NM	ME	GW	FR	HW	PA	WC	WB	ME	CA	SY	RI	GE	ES	
