Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	PF	Tot
Ballantyne, Hayden	1	6			3	3	3	4	7	7	4	6	7	2	1								2	3	59
Ballard, Jacob																						-			
Barlow, Michael	2	2	2	2	3	2	6	5	5	5	4	9	6	4	7	3	6	1	2	5	6	7	4	5	103
Blakely, Connor																						1			1
Clarke, Zac	1	-	-	4	1	5	1	2	4	1			3	3								-	3		28
Crozier, Hayden			-							5	5	2			1	5	2	5	-	4		2			31
Dawson, Zac																	-			-	3		3	-	6
Duffield, Paul	3	3	5	1	3	5	5	3	4	3			9	7							2	1			54
Duffy, Max																						1			1
Fyfe, Nat	2	2	4	6	3	2	3	3	6	6	5	2	5	3	2	10			5	7			4	6	86
Grey, Brady																						3			3
Griffin, Jonathon															5	4	1	2	3	1	2			-	18
Hannath, Jack											1	2										2			5
Hill, Stephen	2	3	7	4	3	3	1	-	4	-	6	2	3	3	4	4	1	4	6	2	3		-	2	67
Hughes, Ethan																						3			3
Ibbotson, Garrick	1	-	1	2	1	2	2	1	6	-	2	1	-	-	-	3	-	3	1	1	2	1	-	-	30
Johnson, Michael	1	-	2	-	1	1	1	-	1	-									-	-	1		-	1	9
Langdon, Ed																					3	2			5
Mayne, Chris	5	7	2	3	12	8	10	5	2	-		6	14	6	9	3	4	2	6	6	6		5	1	122
McPharlin, Luke	1	1	-	3	-			-	-	-	1	-	2	-	1	2	1	2		1	2				17
Mundy, David	4	9	6	4	8	4	3	3	1	8	7	9	8	3	9	6	4	5	7	3	4		1	3	119
Mzungu, Tendai				2							5			6			7	5	4	2	5	2	6	6	50
Neale, Lachie	-	6	3	3	5	3	4	8	1	3	8	1	6	5	4	5	5	1	1	3	5	3	2	1	86
Pavlich, Matthew	2	3	2	4	2	1	-	-	2	3	2	3	3	-	1	2	2	2	3		-		1	5	43
Pearce, Alex						2	-				2	-	-	1	2	1	3	4	2	2		1			20
Pearce, Clancee	4	-	1	-	3	3	-	2	3	2	6	2	4	1		5					2	3	-		41
Pearce, Danyle	3	3	4	2	1	2	4	4	6	2	2	2	6	4	2	2	2	1	5	-	2		-	2	61
Sandilands, Aaron	-	-	1	-	-	-	1	1	3	1	2	3	3	-	3	3	2	-	1	5	1		3	1	34
Sheridan, Tom	-						1	-	1	3	3	1	5	2	4	2	3	2	3	-	6	1	3	3	43
Silvagni, Alex																		2	1						3
Smith, Tanner																						2			2
Spurr, Lee	-	2	1	-	1	3	3	2	-		-	2	6	4	4	3	2	4	3	4	-		5	2	51
Suban, Nick	1	4	8	4	-	3	1	5	7	2	4	4	9	-	7	10	3	3	3	5	5	4	1	-	93
Sutcliffe, Cameron	2	3	-	1	1	2	2	3	3	1	6	1			4	3	2	2	2	2	1		4	1	46
Taberner, Matthew		1	-	1	1	2	1	-	1	2	1		2		5	1						1		1	20
Walters, Michael	1	3	1	1	-	3	3	3	5	3	5	2	7	-	3	1	2	2	2	3			2	2	54
Weller, Lachie																	2	-				5			7
de Boer, Matthew	5	3	6	7	7	-						8	6	4	6	-	7	9	7	4	9	5	7	6	106
Totals	41	61	56	54	59	59	55	54	72	57	81	68	114	58	84	78	61	61	67	60	70	50	56	51	1527
Opponent	PA	GE	WC	SY	ME	ES	WB	NM	AD	RI	GC	CW	BL	HW	CA	RI	GW	SK	WC	NM	ME	PA	SY	HW	
