Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Bartel, Jimmy	2		3										2	11	5	6	3	1	4	2	4	43
Bews, Jed	2	1	2	4	1	2	3	3	4	2	3	7	3	6					4	3		50
Blease, Sam							-															
Blicavs, Mark	5	2	5	7	2	6	4	4	9	4	12	13	10	5	5	4	2	8	8	7	4	126
Caddy, Josh	3	10	3	3	1	9	7	2	6	5	8	7	7	7	3	6	9	8	2			106
Clark, Mitch	2	2	1	2		3	2	2	2													16
Cockatoo, Nakia	4	3	2	1		2										-	1	1	-	3	2	19
Cowan, Josh						-															1	1
Duncan, Mitch	-	3	1	6	4	3	2							3	2	1	1					26
Enright, Corey	4	1	3	1	3	11	-	2	3	7	2	2	3	7	-	2	1	-	5	1	2	60
Gregson, Cory	-	5	-	3	3	4	5	2	2	2	4	5	2	3	3		3	4	4	5	4	63
Guthrie, Cameron	6	4	7	3	2	3	3	4	5	5	7	6	4	3	2	7	11	5	8	6	9	110
Hawkins, Tom	4	1		-	1	2		7	4	1	6	1	1	1	-	4	1	3	1	2	3	43
Horlin-Smith, George		5		8	-												2	2	3		1	21
Johnson, Steve	3	3	3	2	3	6	4	-	2	2	3	3	2	-	1	1		3	3	3	-	47
Kelly, James	3	6	5	5	5			-	6	5	1		8	3	1	3	3	6		2	9	71
Kersten, Shane					1	1	2	2	2	-	1	7		5	3	4						28
Kolodjashnij, Jake												4		4	-	4	4	3	1	1	4	25
Lang, Darcy	2	4	2	1	3	3	2	2	4	7	5	5	1	3	1	2	2	1	2	3		55
Lonergan, Tom	1	-	2		-	2	-	1	3	1	2	1	2	3	1	1	2		1	2	-	25
Luxford, Michael										1		2										3
Mackie, Andrew		-						1	4	1	2	5	3	4	-	1	1	1	-	-	4	27
Menzel, Daniel																				1	1	2
Motlop, Steven	1		4	5	1	3	2	2	1	4	2	5	5	11	2	2	2	4	8	3	1	68
Murdoch, Jordan			4	4	3	6	5	4	3	2	2	2	5	1	1	3	1	4	3	-		53
Rivers, Jared	3			1	-	3	2	1	4	1	3	-	5					2				25
Selwood, Joel	5	8	6	5	5	7	4	8	3	6	6	6	10		8	11	4	3	8	3	8	124
Simpson, Dawson	2	2			5								2									11
Smedts, Billie	1	5													3	2						11
Stanley, Rhys		3	3	4		3	1	3	2		3											22
Stokes, Mathew	1	2	1				4	6	2	7	1	4	3	1			1	-			-	33
Taylor, Harry	2	2	1	2	-	2	2	4	4	-	-	1	4	2	1	-	1	1	2	4	4	39
Thurlow, Jackson			3	2	-	3	1	-	4	2	3	6	3	1	1	3	2	1	3	-	4	42
Vardy, Nathan																			3	1	4	8
Walker, Josh			3	-	1		1			1	1	3	4	2	2	2	4	1	-	-	1	26
Totals	56	72	64	69	44	84	56	60	79	66	77	95	89	86	45	69	61	62	73	52	70	1429
Opponent	HW	FR	GC	NM	RI	CW	SY	CA	WC	ES	PA	ME	NM	WB	GW	BL	SY	HW	SK	CW	AD	
