Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Ablett, Gary	1	2											2	2	3	2							12
Bennell, Harley	3	2	1	1	7		1	7	2			6				3	6	4	5	5	2		55
Boston, Andrew									4	1	6	4	3				1	-	4				23
Brooksby, Keegan									2	5			3										10
Broughton, Greg	2	1					4			2												-	9
Cameron, Clay						2				-	4				-				5		-		11
Day, Sam	3	3	2									2	3	3	3	5	5	2	4	3	3	4	45
Dixon, Charlie				2	7	5	3	5	3		2	4	5	1		6	4	7	2		1	2	59
Garlett, Jarrod	1	3	1	3	-														-	2	1	3	14
Glenn, Josh					5	1									2	3	1						12
Gorringe, Daniel	3		-																				3
Hall, Aaron			-	4		1	2	-					3	2	3	3	4	3	6	5	4	5	45
Hall, Josh																			1	-			1
Hallahan, Mitch	3	2				5	3	7	6	2	3	4	1	1	1								38
Harbrow, Jarrod	6	2			9	7	4	3	-	6	6	3		2	4		6	7	5				70
Kolodjashnij, Kade	3	3	3	2	7	7	3	13	2	8	7	11	4	10	5	5	6	5	5	3	7	5	124
Lemmens, Sean		5	2	2	3	2	2	4	2	4	1	3		1		4	5	-		4	5	2	51
Leslie, Jack							3	3			1												7
Lonergan, Jesse					3	4	2	8	2	6	2	3	-	4	5	3	3	-	4	2	2	1	54
Lynch, Tom		4	6	2	4	7		5	8	10	5	6	4	9	7	11	5	9	11	8	6	7	134
Malceski, Nick	6	4	2	2							6	3	4	6	6	10	6	4	4	5	4	3	75
Martin, Jack	7	5	7	1	1				-								5	7	2	9	4	6	54
Matera, Brandon			1	5	2		1	2	2	6	5	6	1	3	1	9	6	4	6	6	9	5	80
May, Steven	5	3	7	-	6				1	2		8	4	6	5	3	5	6	5	4	2	4	76
McKenzie, Trent	3		4	1	6		2	5	2	2	-	5	4	4	4	2		1				2	47
Miller, Touk	2	1	6	3	1	3	1	2	2	-	2	3	6	-	5	1	1	2	3	3	1	3	51
Nicholls, Tom				2	2	4	-	7	2	6	2	1	4	4	1		3	-	2				40
Prestia, Dion	3	1	1	2	-	2	1	6															16
Raines, Andrew						3	1	2		-	2	3											11
Rischitelli, Michael	6	1	4	4	3	5	1	4	1	5	4	9	5	4	7	2		-	3	5	2	6	81
Russell, Luke						5		-	-	3	6	2	5			4	5	3	3	2	2	2	42
Saad, Adam	4	4	5	2	7	7		4	3	4	2	5	3				5	5	5	1			66
Schade, Henry					2	5	5	1	3	5	4	2	-			-	5	1		3	2	2	40
Sexton, Alex	6	2		-	2	4	2	3	2			1	6	-	3	1							32
Shaw, Matt	5		8	3	3	6	3							4	3	6	7	4	7	7	2	6	74
Smith, Zac	4	1	1	3		2	-								3	2				3	2	1	22
Stanley, Danny							1	6	3	5	-									2	-	3	20
Swallow, David	1	1	2	4									5	3									16
Tape, Seb		1	1		7									1									10
Thompson, Rory	3	1	5	3		5								3	5	3	1			4	-	5	38
Wright, Peter										2	3				3								8
Totals	80	52	69	51	87	92	45	97	52	84	73	94	75	73	79	88	95	74	92	86	61	77	1676
Opponent	ME	SK	GE	GW	BL	AD	WC	CW	HW	SY	FR	CA	NM	WB	GW	AD	WC	BL	RI	ES	PA	SY	
