matchid,date,attendance,venue,winner,won_by
1990-01-00,Sat 31-Mar-1990 2:10 PM,22427,Princes Park,Sydney,5
1990-01-01,Sat 31-Mar-1990 2:10 PM,18960,Windy Hill,Essendon,81
1990-01-02,Sat 31-Mar-1990 2:10 PM,41694,Waverley Park,Hawthorn,115
1990-01-03,Sat 31-Mar-1990 2:10 PM,23191,M.C.G.,Melbourne,53
1990-01-04,Sat 31-Mar-1990 7:40 PM,11814,Carrara,Brisbane Bears,59
1990-01-05,Sun 01-Apr-1990 2:10 PM,28553,Western Oval,St Kilda,63
1990-01-06,Sun 01-Apr-1990 2:10 PM (4:10 PM),25342,Subiaco,West Coast,46
1990-02-00,Fri 06-Apr-1990 7:40 PM,18105,M.C.G.,North Melbourne,141
1990-02-01,Sat 07-Apr-1990 2:10 PM,6838,Princes Park,Fitzroy,39
1990-02-02,Sat 07-Apr-1990 2:10 PM,44906,Waverley Park,Collingwood,35
1990-02-03,Sat 07-Apr-1990 2:10 PM,29024,M.C.G.,Melbourne,37
1990-02-04,Sat 07-Apr-1990 2:10 PM,23161,Moorabbin Oval,St Kilda,58
1990-02-05,Sun 08-Apr-1990 2:10 PM,55311,M.C.G.,Essendon,62
1990-02-06,Sun 08-Apr-1990 2:10 PM,11051,S.C.G.,Footscray,62
1990-03-00,Sat 14-Apr-1990 2:10 PM,53065,Waverley Park,Carlton,16
1990-03-01,Sat 14-Apr-1990 2:10 PM,14842,Western Oval,West Coast,63
1990-03-02,Sat 14-Apr-1990 2:10 PM,11698,Princes Park,Hawthorn,30
1990-03-03,Sun 15-Apr-1990 2:10 PM,8683,Carrara,North Melbourne,18
1990-03-04,Mon 16-Apr-1990 2:10 PM,27839,Victoria Park,Collingwood,35
1990-03-05,Mon 16-Apr-1990 2:10 PM,59894,M.C.G.,Melbourne,27
1990-03-06,Mon 16-Apr-1990 2:10 PM,23031,Kardinia Park,Geelong,73
1990-04-00,Fri 20-Apr-1990 7:40 PM (9:40 PM),28568,W.A.C.A.,West Coast,50
